Designator,Mid X,Mid Y,Rotation,Layer
R105,56.691,-194.841999,270.0,top
R107,104.928001,-213.776999,180.0,top
R108,79.986,-159.632999,0.0,top
R109,79.971,-158.012999,0.0,top
R112,137.329,-209.650999,90.0,top
R115,107.660001,-210.454999,90.0,top
R116,107.523998,-202.963997,90.0,top
R117,107.542998,-206.088997,270.0,top
R118,98.764,-221.940999,90.0,top
R119,114.946501,-203.367499,90.0,top
R120,114.941501,-206.473498,270.0,top
R121,99.462,-214.501999,0.0,top
R122,99.462,-216.110999,0.0,top
R123,68.335,-225.061999,180.0,top
R124,65.547,-238.850999,90.0,top
R125,113.372,-142.031999,180.0,top
R126,119.998,-139.698999,270.0,top
R127,110.293,-177.714999,90.0,top
R128,85.724,-234.088,90.0,top
R129,85.042,-231.092999,112.5,top
R130,101.131,-222.664999,0.0,top
R131,100.649,-224.381999,0.0,top
R132,97.779,-227.68,270.0,top
R133,67.216,-219.312999,0.0,top
R136,69.734,-128.092999,90.0,top
R137,70.518,-125.743999,0.0,top
R138,57.654,-185.705999,270.0,top
R139,56.009,-185.705999,90.0,top
R140,56.61,-203.736999,270.0,top
R141,56.508,-212.713999,270.0,top
R142,56.937,-219.840999,180.0,top
R143,75.787,-233.293143,90.0,top
R144,73.417,-235.495999,270.0,top
R145,102.671,-150.712999,0.0,top
R160,138.7805,-84.625998,0.0,top
R161,58.403,-194.841999,90.0,top
R162,58.298,-203.736999,90.0,top
R163,58.227,-212.713999,90.0,top
R164,56.914,-221.411999,0.0,top
R167,66.739,-186.916999,0.0,top
R23,76.551,-162.700998,270.0,top
R24,74.805,-162.711999,90.0,top
R25,141.8995,-84.591998,0.0,top
R26,131.463,-85.297999,0.0,top
R27,124.812,-140.577999,0.0,top
R29,133.954,-229.2885,0.0,top
R30,131.162999,-234.374999,90.0,top
R31,131.144,-231.306,90.0,top
R33,99.954999,-231.751999,0.0,top
R36,124.354,-144.301999,0.0,top
R37,118.762,-132.234001,0.0,top
R38,131.466,-86.846999,180.0,top
R4,130.675,-105.137999,0.0,top
R40,98.296,-200.535999,0.0,top
R41,101.445,-200.514999,180.0,top
R42,112.695,-134.804999,90.0,top
R43,138.957,-185.773999,180.0,top
R44,124.201,-150.616999,180.0,top
R45,114.124,-153.325999,90.0,top
R46,127.885,-201.752999,0.0,top
R47,127.882,-200.212999,0.0,top
R48,127.546,-194.843999,0.0,top
R49,127.525,-193.289999,0.0,top
R5,89.116001,-159.684999,0.0,top
R50,103.4165,-159.302998,90.0,top
R51,119.74,-173.187999,180.0,top
R52,111.047,-180.143999,0.0,top
R53,115.089,-181.916999,90.0,top
R54,113.473,-181.903999,90.0,top
R55,100.318,-157.740999,90.0,top
R56,116.735,-181.922999,90.0,top
R57,102.652501,-153.854999,0.0,top
R58,102.649502,-155.414999,0.0,top
R59,102.650501,-156.962999,0.0,top
R6,88.762001,-162.166,270.0,top
R60,102.657499,-152.318,0.0,top
R67,139.073,-182.662999,180.0,top
R7,123.611,-232.626999,90.0,top
R70,103.018,-202.250999,0.0,top
R71,109.765501,-204.611499,90.0,top
R72,137.436,-94.097999,0.0,top
R73,130.882,-98.824999,180.0,top
R74,133.983,-98.826999,180.0,top
R75,128.514,-102.792999,90.0,top
R76,133.046,-105.841999,270.0,top
R77,119.319,-121.446499,180.0,top
R78,119.317,-127.195499,180.0,top
R79,119.309,-128.776999,180.0,top
R8,56.083,-225.920999,90.0,top
R80,112.945001,-121.451999,180.0,top
R81,114.534,-127.146999,180.0,top
R82,114.536,-128.695999,180.0,top
R83,109.771,-121.463999,0.0,top
R84,109.81,-127.067999,180.0,top
R85,109.81,-128.631999,180.0,top
R86,139.200501,-234.223998,180.0,top
R89,105.171,-127.066999,180.0,top
R9,99.954999,-230.251999,0.0,top
R90,105.18,-128.655999,180.0,top
R91,116.059001,-121.457999,0.0,top
R92,106.201,-121.439999,0.0,top
R93,103.127,-121.439999,180.0,top
R94,126.752,-197.245999,90.0,top
R95,128.293,-197.246999,90.0,top
R96,57.713,-225.898998,90.0,top
R97,60.868,-225.875998,90.0,top
R98,81.933,-192.830999,180.0,top
R99,81.936,-191.214999,180.0,top
SW1,128.362,-208.050998,0.0,top
SW2,140.890999,-224.165999,180.0,top
U1,112.872,-227.487,180.0,top
U10,129.265,-221.487999,0.0,top
U12,109.931,-197.725999,90.0,top
U13,108.578501,-154.977999,90.0,top
U15,122.031001,-154.288999,270.0,top
U16,128.151,-231.594499,180.0,top
U18,84.255997,-216.465,180.0,top
U20,131.7565,-102.535999,180.0,top
U21,101.120999,-195.948997,180.0,top
U22,74.303,-186.687999,270.0,top
U23,70.0785,-238.724999,180.0,top
U3,78.755,-162.595998,90.0,top
U38,138.3355,-88.289998,180.0,top
U4,90.955001,-161.945999,90.0,top
U6,116.392,-137.481999,0.0,top
U7,89.151,-73.056001,90.0,top
U8,115.0335,-188.7365,90.0,top
U9,122.040999,-185.9995,0.0,top
Y2,109.609501,-147.218999,0.0,top
Y4,104.714266,-191.168516,157.5,top
